,failed_albums
120,"Dave's Picks Volume 27: BSU Pavillion, Bosie State University, Bosie, ID, 9 Grateful Dead"
121,Vault: Greatest Hits 1980-1995 Def Leppard
122,"NOW That's What I Call Country, Volume 11 Various Artists"
123,Bad Witch (EP) Nine Inch Nails
124,Let The Trap Say Amen Lecrae X Zaytoven
125,Greatest Hits: Volume 2 Eagles
126,SQUARE UP (EP) BLACKPINK
127,"All Your Fault, Pt. 2 (EP) Bebe Rexha"
128,"RWBY,  Volume 5 (Soundtrack) Jeff Williams"
129,Icon 2: George Strait George Strait
130,"Streams Of Thought, Vol. 1 (EP) Black Thought"
131,44/876 Sting & Shaggy
132,Wide Awaaaaaake! Parquet Courts
133,"Quality Control: Control The Streets, Vol. 1 Various Artists"
134,"The Whoodlum Ball Smith And Hay, DJ Whoo Kid & Ranna Royce"
135,L.O.D. (EP) Desiigner
136,"Dave's Picks, V 26: Albuquerque Civic Auditorium, Albuquerque, NM, 11/17/71 Grateful Dead"
137,You're Driving Me Crazy Van Morrison And Joey DeFrancesco
138,I: The Arrow (EP) Andy Mineo
139,Bless Yo Trap Smokepurpp & Murda Beatz
140,AVICI (01) (EP) Avicii
141,The Fate Of The Furious: The Album Soundtrack
142,Revamp: Reimagining The Songs Of Elton John & Bernie Taupin Various Artists
143,Restoration: Reimagining The Songs Of Elton John And Bernie Taupin Various Artists
144,No_One Ever Really Dies N*E*R*D
145,"Resurrection Letters, Volume I Andrew Peterson"
146,No Mercy In This Land Ben Harper And Charlie Musselwhite
147,Edgewood Trouble & Mike WiLL Made-It
148,"The Final Tour: The Bootleg Series, Vol. 6 Miles Davis & John Coltrane"
149,Snoop Dogg Presents: Bible Of Love Snoop Dogg & Various Artists
150,Perfect Timing NAV And Metro Boomin
151,M A N I A Fall Out Boy
152,Hope World (EP) J-Hope
153,Suicide Squad: The Album Soundtrack
154,SYRE Jaden Smith
155,Freda's Son (EP) YFN Lucci
156,Once On This Island: The Musical The New Broadway Cast Recording
157,Black Panther: Original Motion Picture Score Soundtrack
158,N****s Get Shot Everyday (EP) Young Dolph
159,Chromance (EP) David Cook
160,2018 Grammy Nominees Various Artists
161,The Play Don't Care Who Makes It (EP) 2 Chainz
162,Water (EP) Sister Hazel
163,As She Pleases (EP) Madison Beer
164,"Dave's Picks, Volume 25: Broome County Veterans Memorial Arena, Binghamton Grateful Dead"
165,Black Coffee Beth Hart And Joe Bonamassa
166,Fed Baby's Moneybagg Yo & YoungBoy Never Broke Again
167,Ain't Too Long (EP) YoungBoy Never Broke Again
168,Star Wars: The Last Jedi (Soundtrack) London Symphony Orchestra (Williams)
169,"The Anthology: Part I, The First Five Years Garth Brooks"
170,Stranger Things: Music From The Netflix Original Series Soundtrack
171,NOW That's What I Call Merry Christmas (2017) Various Artists
172,That's Christmas To Me / PTXmas: Deluxe Pentatonix
173,Disney Karaoke Series: Frozen (EP) Various Artists
174,The Ultimate Hits Garth Brooks
175,Gold: A 50th Anniversary Christmas Celebration Johnny Mathis
176,The Christmas Records The Beatles
177,The Music... The Mem'ries... The Magic!: Live In Concert Barbra Streisand
178,Bloodas Tee Grizzley & Lil Durk
179,Friday On Elm Street Fabolous & Jadakiss
180,"ONXRT: Live From  The Archives, Vol. 19 Various Artists"
181,The Visitor Neil Young + Promise Of The Real
182,Kidz Bop Christmas (2016) Kidz Bop Kids
183,Trolls Holiday Soundtrack
184,"Squeeze Box: The Complete Works Of ""Weird Al"" Yankovic ""Weird Al"" Yankovic"
185,I Wish You Love: More From The Bodyguard (Soundtrack) Whitney Houston
186,"Cities 97 Sampler, Volume 29 Various Artists"
187,"Robert F. Kennedy Stadium, Washington, D.C. July 12 & 13, 1989 Grateful Dead"
188,Master Of Puppets (Super Deluxe) Metallica
189,In Tongues (EP) Joji
190,"Dave's Picks, Volume 24: Berkeley Community Theatre, Berkeley, CA, 8/25/72 Grateful Dead"
191,A Love So Beautiful Roy Orbison With The Royal Philharmonic Orchestra
192,Savage Mode 21 Savage & Metro Boomin
193,Extended Play (EP) LANCO
194,"Under The Covers, Volume II Ninja Sex Party"
195,"Stranger Things, Volume One Soundtrack"
196,"Listen Without Prejudice, Vol. 1 George Michael"
197,A Long Way From Your Heart The Turnpike Troubadours
198,"H.E.R., Vol. 2: The B Sides (EP) H.E.R."
199,Black Smoke Rising (EP) Greta Van Fleet
200,Swim Team The Dirty Heads
201,Add Violence (EP) Nine Inch Nails
202,Ogilala William Patrick Corgan
203,Anthology: Through The Years Tom Petty And The Heartbreakers
204,Beauty And The Beast (2017) Soundtrack
205,Greatest Hits 1970-2002 Elton John
206,Let's Play Two: Live At Wrigley Field (Soundtrack) Pearl Jam
207,Seven Days (EP) PARTYNEXTDOOR
208,Cold Dark Place (EP) Mastodon
209,BCC IV Black Country Communion
210,Invitation (EP) Why Don't We
211,Hard EP The Neighbourhood
212,The Long-Awaited Album Steve Martin And The Steep Canyon Rangers
213,Everybody Knows Stephen Stills & Judy Collins
214,Twin Peaks: Music From The Limited Event Series Soundtrack
215,"Insecure: Music From The HBO Original Series, Season 2 Soundtrack"
216,Live At The O2 Arena + Rarities Alter Bridge
217,40: Forty Hits From Forty Years - 1977-2017 Foreigner
218,Rocket Man: Number Ones Elton John
219,Nervous System (EP) Julia Michaels
220,"Game Of Thrones: Season 7, Music From The HBO Series Soundtrack"
221,NOW That's What I Call Country Volume 10 Various Artists
222,20 Greatest Hits Glen Campbell
223,What A Time To Be Alive Drake & Future
224,Lay It On Down The Kenny Wayne Shepherd Band
225,"Dave's Picks, Volume 23: McArthur Court, U. Of Oregon, Eugene, OR - 1/22/78 Grateful Dead"
226,Baby Driver: Music From The Motion Picture Soundtrack
227,Bitch I'm The S**t 2 Tyga
228,The Most Hated (EP) Polyphia
229,"Punk Goes Pop, Vol. 7 Various Artists"
230,L O V E (EP) kirstin
231,Future Friends: Part One (EP) Superfruit
232,Fifty Big Ones: Greatest Hits The Beach Boys
233,"Comere Callado, Vol. 1: Con Norteno, Tuba y Guitarras Gerardo Ortiz"
234,"Live, The Last Concert: Houston, Texas February 26, 1995 Selena"
235,"RWBY, Volume 4 Soundtrack"
236,"Rich Forever 3 Rich The Kid, Famous Dex And Jay Critch"
237,Anastasia: The New Broadway Musical Original Broadway Cast Recording
238,"Planetarium Sufjan Stevens, Nico Muhly, Bryce Dessner & James McAlister"
239,Sage And Stone (EP) Avriel & The Sequoias
240,Know No Better EP Major Lazer
241,Blackbird Sessions (EP) Jessie James Decker
242,"Steven Universe, Volume 1 Soundtrack"
243,EPIC AF (Yellow/Pink) Various Artists
244,"The RCA-List, Vol 5 Various Artists"
245,Colours 2 (EP) PARTYNEXTDOOR
246,Epic Lit (Version 3) Various Artists
247,Ultimate Hits: Rock And Roll Never Forgets Bob Seger & The Silver Bullet Band
248,KWON JI YOUNG (EP) G-Dragon
249,This One's For You (EP) Luke Combs
250,#TheGodBox David Banner
251,Thankful (EP) New Kids On The Block
252,The Bob's Burgers Music Album Soundtrack
253,"Hello, Dolly! The New Broadway Cast Recording"
254,PTX Vol. IV: Classics (EP) Pentatonix
255,"Barton Hall, Cornell Univ., Ithaca, NY, May 8, 1977 Grateful Dead"
256,Dance Latin #1 Hits 2.0: Los Exitos del Momento Various Artists
257,May 1977: Get Shown The Light Grateful Dead
258,TajMo Taj Mahal & Keb' Mo'
259,Once Upon A Time: The Musical Episode (EP) Soundtrack
260,Sad Clowns & Hillbillies John Mellencamp Featuring Carlene Carter
261,"Dave's Picks Volume 22: Felt Forum, New York, NY, 12/7/71 Grateful Dead"
262,Herstory (EP) Young M.A
263,The Wrong Side Of Heaven...Volume 1 Five Finger Death Punch
264,2 Federal Moneybagg Yo & Yo Gotti
265,Bee Gee's Greatest Bee Gees
266,What Everyone's Thinking (EP) AJR
267,"The RCA-List, Vol 4 Various Artists"
268,Big Little Lies: Music From The HBO Limited Series Soundtrack
269,The Seven (EP) Talib Kweli & Styles P
270,Big Baby D.R.A.M. D.R.A.M.
271,Step Brothers (EP) G-Eazy x Carnage
272,Worth The Wait (EP) Lindsay Ell
273,The Flash: Music From The Special Episode: Duet (EP) Soundtrack
274,Hymnals: A Journey Of Faith Through Hymns David Phelps
275,All Your Fault: Pt. 1 (EP) Bebe Rexha
276,The Definitive Collection Chuck Berry
277,Score 2Cellos/London Symphony Orchestra
278,The Shack Soundtrack
279,Plata O Plomo Fat Joe & Remy Ma
